,time,precipitation,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
207,1966-04-30,7850.800180271268,0,1966,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
208,1966-05-31,6290.100151531398,0,1966,5,31,22,1,151,2,Spring,-0.8660254037844387,0.6234898018587336
209,1966-06-30,6211.800099633634,0,1966,6,30,26,3,181,2,Summer,-1.0,-0.900968867902419
210,1966-07-31,4930.20010086894,0,1966,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
211,1966-08-31,2650.200033068657,0,1966,8,31,35,2,243,3,Summer,-0.5000000000000004,-0.22252093395631434
212,1966-09-30,8056.500168219209,0,1966,9,30,39,4,273,3,Fall,-1.8369701987210297e-16,-0.9009688679024191
213,1966-10-31,19345.600235827267,0,1966,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
214,1966-11-30,35537.00054822117,0,1966,11,30,48,2,334,4,Fall,0.8660254037844384,-0.22252093395631434
215,1966-12-31,51586.20081944764,0,1966,12,31,52,5,365,4,Winter,1.0,-0.2225209339563146
216,1967-01-31,54881.6009991914,0,1967,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
217,1967-02-28,23125.400428555906,0,1967,2,28,9,1,59,1,Winter,0.5000000000000001,0.6234898018587336
218,1967-03-31,30486.400519527495,0,1967,3,31,13,4,90,1,Spring,6.123233995736766e-17,-0.9009688679024191
219,1967-04-30,16105.100296795368,0,1967,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
220,1967-05-31,5862.900121457875,0,1967,5,31,22,2,151,2,Spring,-0.8660254037844387,-0.22252093395631434
221,1967-06-30,3024.5000591650605,0,1967,6,30,26,4,181,2,Summer,-1.0,-0.9009688679024191
222,1967-07-31,850.7000148817897,0,1967,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
223,1967-08-31,352.30000195652246,0,1967,8,31,35,3,243,3,Summer,-0.5000000000000004,-0.900968867902419
224,1967-09-30,8724.60019352287,0,1967,9,30,39,5,273,3,Fall,-1.8369701987210297e-16,-0.2225209339563146
225,1967-10-31,41576.100642323494,0,1967,10,31,44,1,304,4,Fall,0.5000000000000001,0.6234898018587336
226,1967-11-30,18924.000382594764,0,1967,11,30,48,3,334,4,Fall,0.8660254037844384,-0.900968867902419
227,1967-12-31,38815.00060573965,0,1967,12,31,52,6,365,4,Winter,1.0,0.6234898018587334
228,1968-01-31,42451.60087638348,0,1968,1,31,5,2,31,1,Winter,0.8660254037844387,-0.22252093395631434
229,1968-02-29,33731.90062725544,0,1968,2,29,9,3,60,1,Winter,0.5000000000000001,-0.900968867902419
230,1968-03-31,28381.200415223837,0,1968,3,31,13,6,91,1,Spring,6.123233995736766e-17,0.6234898018587334
231,1968-04-30,11962.300217583776,0,1968,4,30,18,1,121,2,Spring,-0.4999999999999998,0.6234898018587336
232,1968-05-31,11315.900175124407,0,1968,5,31,22,4,152,2,Spring,-0.8660254037844387,-0.9009688679024191
233,1968-06-30,10732.800198331475,0,1968,6,30,26,6,182,2,Summer,-1.0,0.6234898018587334
234,1968-07-31,2635.9000377506018,0,1968,7,31,31,2,213,3,Summer,-0.8660254037844388,-0.22252093395631434
235,1968-08-31,15263.800310239196,0,1968,8,31,35,5,244,3,Summer,-0.5000000000000004,-0.2225209339563146
236,1968-09-30,12648.400297902524,0,1968,9,30,40,0,274,3,Fall,-1.8369701987210297e-16,1.0
237,1968-10-31,29934.300574034452,0,1968,10,31,44,3,305,4,Fall,0.5000000000000001,-0.900968867902419
238,1968-11-30,35848.900598064065,0,1968,11,30,48,5,335,4,Fall,0.8660254037844384,-0.2225209339563146
