,time,location_cluster,precipitation_diff,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
158,1962-04-30,2,-1.2708962932496872,1962,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
159,1962-07-31,0,-4.489233199080054,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
160,1962-07-31,1,-0.45369662514972675,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
161,1962-07-31,2,-0.9420042006474352,1962,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
162,1962-10-31,1,0.46603597038521993,1962,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
163,1962-10-31,2,0.7363272449395935,1962,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
164,1962-10-31,0,2.394981141168701,1962,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
165,1963-01-31,2,1.3844536800551266,1963,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
166,1963-01-31,0,4.0721739717349,1963,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
167,1963-01-31,1,0.0333064966337675,1963,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
168,1963-04-30,2,-0.43513389482568465,1963,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
169,1963-04-30,0,-0.838087972342926,1963,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
170,1963-04-30,1,0.28789557259360943,1963,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
171,1963-07-31,0,-4.663017966854677,1963,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
172,1963-07-31,1,-0.6608961145274781,1963,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
173,1963-07-31,2,-1.555541198782561,1963,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
174,1963-10-31,1,-0.3801127293197637,1963,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
175,1963-10-31,2,0.15550630152421574,1963,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
176,1963-10-31,0,0.7994234400049613,1963,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
177,1964-01-31,1,1.2200617481720941,1964,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
178,1964-01-31,2,3.3164045137376683,1964,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
179,1964-01-31,0,8.858270480207718,1964,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
180,1964-04-30,2,-2.8318688492634743,1964,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
181,1964-04-30,0,-7.179630251760836,1964,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
182,1964-04-30,1,-1.0671506698557205,1964,4,30,18,3,121,2,Spring,-0.4999999999999998,-0.900968867902419
183,1964-07-31,0,-2.837713957197324,1964,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
184,1964-07-31,1,0.47922795732868495,1964,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
185,1964-07-31,2,-0.5587490514510169,1964,7,31,31,4,213,3,Summer,-0.8660254037844388,-0.9009688679024191
186,1964-10-31,0,0.09522684257625436,1964,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
187,1964-10-31,1,-0.836245318773736,1964,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
188,1964-10-31,2,0.1298197903627747,1964,10,31,44,5,305,4,Fall,0.5000000000000001,-0.2225209339563146
189,1965-01-31,0,11.101824389290353,1965,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
190,1965-01-31,2,3.476659101354133,1965,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
191,1965-01-31,1,2.994712879346365,1965,1,31,4,6,31,1,Winter,0.8660254037844387,0.6234898018587334
192,1965-04-30,2,-3.0420768733134294,1965,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
193,1965-04-30,1,-2.725350303540538,1965,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
194,1965-04-30,0,-9.078437754836173,1965,4,30,17,4,120,2,Spring,-0.4999999999999998,-0.9009688679024191
