,time,precipitation_diff,location_cluster,year,month,day,week_of_year,day_of_week,day_of_year,quarter,season,month_cos,day_of_week_cos
282,1973-04-30,0.33993619756057664,1,1973,4,30,18,0,120,2,Spring,-0.4999999999999998,1.0
283,1973-07-31,0.1975442866674288,1,1973,7,31,31,1,212,3,Summer,-0.8660254037844388,0.6234898018587336
284,1973-10-31,0.2954374719971028,1,1973,10,31,44,2,304,4,Fall,0.5000000000000001,-0.22252093395631434
285,1974-01-31,0.9726650734580513,1,1974,1,31,5,3,31,1,Winter,0.8660254037844387,-0.900968867902419
286,1974-04-30,0.5586627931217162,1,1974,4,30,18,1,120,2,Spring,-0.4999999999999998,0.6234898018587336
287,1974-07-31,0.20449544118654325,1,1974,7,31,31,2,212,3,Summer,-0.8660254037844388,-0.22252093395631434
288,1974-10-31,0.08454106417167143,1,1974,10,31,44,3,304,4,Fall,0.5000000000000001,-0.900968867902419
289,1975-01-31,0.6302871823088895,1,1975,1,31,5,4,31,1,Winter,0.8660254037844387,-0.9009688679024191
290,1975-04-30,0.6764738622684389,1,1975,4,30,18,2,120,2,Spring,-0.4999999999999998,-0.22252093395631434
291,1975-07-31,0.4081052125062168,1,1975,7,31,31,3,212,3,Summer,-0.8660254037844388,-0.900968867902419
292,1975-10-31,0.36677402491174876,1,1975,10,31,44,4,304,4,Fall,0.5000000000000001,-0.9009688679024191
293,1976-01-31,0.5866747279244041,1,1976,1,31,5,5,31,1,Winter,0.8660254037844387,-0.2225209339563146
294,1976-04-30,0.5020576214972265,1,1976,4,30,18,4,121,2,Spring,-0.4999999999999998,-0.9009688679024191
295,1976-07-31,0.2745840095465486,1,1976,7,31,31,5,213,3,Summer,-0.8660254037844388,-0.2225209339563146
296,1976-10-31,0.4278717188037616,1,1976,10,31,44,6,305,4,Fall,0.5000000000000001,0.6234898018587334
297,1977-01-31,0.16252013197707604,1,1977,1,31,5,0,31,1,Winter,0.8660254037844387,1.0
298,1977-04-30,0.23846581077725337,1,1977,4,30,17,5,120,2,Spring,-0.4999999999999998,-0.2225209339563146
299,1977-07-31,0.43616479570950895,1,1977,7,31,30,6,212,3,Summer,-0.8660254037844388,0.6234898018587334
300,1977-10-31,0.3067364520840727,1,1977,10,31,44,0,304,4,Fall,0.5000000000000001,1.0
301,1978-01-31,0.8142109650476639,1,1978,1,31,5,1,31,1,Winter,0.8660254037844387,0.6234898018587336
302,1978-04-30,0.7718823813837301,1,1978,4,30,17,6,120,2,Spring,-0.4999999999999998,0.6234898018587334
303,1978-07-31,0.33691626928258794,1,1978,7,31,31,0,212,3,Summer,-0.8660254037844388,1.0
